idEstado,idHojaVida,idHVPosgrado,intItemPosgrado,strAnioPosgrado,strCenEstudioPosgrado,strConcluidoPosgrado,strEgresadoPosgrado,strEsDoctor,strEsMaestro,strEspecialidadPosgrado,strTengoPosgrado,strUsuario,strComentario
1,136528,132818,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,133878,130364,1,2008,COLUMBIA UNIVERESITY,1,1,0,1,MAESTRÍA  EN ADMINISTRACIÓN DE EMPRESAS,1,,,2021-03-14 14:20:15
1,134377,130782,1,,UNIR- UNIVERSIDAD DE RIOJA,2,0,0,0,MAESTRIA  EN COMUNICACION  Y MARKETING POLITICO,1,,,2021-03-14 14:20:15
1,133837,130328,1,,UNIVERSIDAD PRIVADA SAN MARTIN DE PORRES,1,1,0,2,NO,1,,,2021-03-14 14:20:15
1,134133,130640,1,,UNIVERSIDAD NACIONAL JOSE FAUSTINO SANCHEZ CARRION,2,0,0,0,DERECHO CONSTITUCIONAL ADMINISTRATIVO,1,,,2021-03-14 14:20:15
1,134937,131272,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,136570,132846,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,137760,134064,1,,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,1,2,0,0,-,1,,ESTUDIOS CONCLUIDOS DE LA MAESTRIA EN CIENCIA POLITICA,2021-03-14 14:20:15
1,137757,134052,1,,UNIVERSIDAD PERUANA CAYETANO HEREDIA,1,1,0,2,MAESTRIA DE MEDICINA FAMILIAR Y ATENCION PRIMARIA,1,,,2021-03-14 14:20:15
1,136484,132791,1,,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,1,1,2,0,CIENCIA POLITICA Y GOBIERNO,1,,CUENTA CON DIPLOMADO DE POST GRADO EN CIENCIAS POLITICAS,2021-03-14 14:20:15
1,134943,131288,1,,INSTITUT UNIVERSITAIRE DES HAUTES ETUDES INTERNATIONALES,1,1,2,0,LINCENCE ECONOMIE ET DROIT INTERNATIONAL,1,,NO ESTA REGRISTRADO EN SUNEDU,2021-03-14 14:20:15
1,134834,131212,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134982,131312,1,2010,PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ,1,1,1,0,DOCTOR EN ADMINISTRACION ESTRATEGICA DE EMPRESAS,1,,,2021-03-14 14:20:15
1,137291,133781,1,,UNIVERSIDAD NACIONAL FEDERICO VILLAREAL,1,1,0,2,MAESTRIA,1,,,2021-03-14 14:20:15
1,136233,132527,1,2019,UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIÓN CIVIL,1,1,1,0,DOCTOR EN DERECHO,1,,,2021-03-14 14:20:15
1,136188,132478,1,2019,UNIVERSIDAD CÉSAR VALLEJO S.A.C.,1,1,0,1,MAESTRO EN GESTIÓN PÚBLICA,1,,,2021-03-14 14:20:15
1,136626,132896,1,2013,UNIVERSIDAD COMPLUTENSE DE MADRID,1,1,1,0,TÍTULO DE DOCTOR POR LA UNIVERSIDAD COMPLUTENSE DE MADRID,1,,,2021-03-14 14:20:15
1,135341,131645,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135289,131594,1,2018,UNIVERSIDAD DE SAN MARTÍN DE PORRES,1,1,0,1,MAESTRO EN PERIODISMO Y COMUNICACIÓN MULTIMEDIA,1,,,2021-03-14 14:20:15
1,137542,133850,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,136318,132612,1,2010,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,1,1,0,1,MAGISTER EN COMUNICACIONES,1,,,2021-03-14 14:20:15
1,137806,134115,1,,WORLD BANK DEVELOPMENT INSTITUTE,1,1,0,2,POST GRADO DE ANALISIS POLITICAS PUBLICAS,1,,POST GRADO DE ANALISIS DE POLITICAS PUBLICAS ORGANIZADO POR IDE- BANCO MUNDIAL -ESAN JULIO 1985,2021-03-14 14:20:15
1,135595,132107,1,1999,PONTIFICA UNIVERSIDAD CATOLICA DEL PERU,1,1,0,1,MAESTRIA EN SOCIOLOGIA,1,,,2021-03-14 14:20:15
1,136358,132659,1,,INSTITUTO PEDAGOGICO LATINOAMERICANO Y CARIBEÑO - IPLAC Y UNIVERSIDAD  DE POSTGRAD DE LA HABANA CUBA,1,1,0,2,MAESTRIA CON MENCIÓN EN DIRECCIÓN CIENTIFICA EN EDUCACIÓN,1,,,2021-03-14 14:20:15
1,135264,131572,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,137792,134083,1,2013,UNIVERSIDAD PRIVADA CÉSAR VALLEJO,1,1,0,1,MAGISTER EN PSICOLOGIA EDUCATIVA,1,,,2021-03-14 14:20:15
1,135388,131707,1,2012,UNIVERSIDAD SAN MARTIN DE PORRES,1,1,0,1,MAESTRIA EN DERECHO REGISTRAL Y NOTARIAL,1,,,2021-03-14 14:20:15
1,136953,133275,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,136156,132449,1,,UNIVERSIDAD NACIONAL FEDERICO VILLAREAL,1,1,2,0,SALUD PUBLICA,1,,,2021-03-14 14:20:15
1,136938,133252,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134923,131612,1,1996,UNIVERSIDAD DEL PACIFICO,1,1,0,1,MAGISTER EN ADMINISTRACION,1,,GRADO ACADEMICO DE MAGISTER EN ADMINISTRACION,2021-03-14 14:20:15
1,134807,131191,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,133825,130299,1,2016,ESCUELA NAVAL DEL PERU,1,1,0,1,MAESTRIA EN ESTRATEGIA MARITIMA,1,,,2021-03-14 14:20:15
1,134910,133848,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134911,133782,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134912,133791,1,,EPG-CENTRO DE ALTOS ESTUDIOS NACIONALES-CAEN,1,1,0,2,DESARROLLO Y DEFENSA NACIONAL,1,,III CURSO ESPECIAL DE DESARROLLO Y DEFENSA NACIONAL,2021-03-14 14:20:15
1,134976,131306,1,2020,PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ,1,1,0,1,MAGÍSTER EN DERECHO PENAL,1,,,2021-03-14 14:20:15
1,133901,130377,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135152,131484,1,2017,UNIVERSIDAD DE SAN MARTÍN DE PORRES,1,1,0,1,DOCENCIA E INVESTIGACIÓN UNIVERSITARIA,1,,MAESTRO EN EDUCACIÓN,2021-03-14 14:20:15
1,135111,131649,1,1984,FACULTAD LATINOAMERICANA DE CIENCIAS SOCIALES,1,1,0,1,MAESTRIA EN CIENCIAS SOCIALES CON MENCION EN SOCIOLOGIA,1,,ESTUDIOS DE POST GRADO EN EL CENTRO DE ESTUDIOS SOCIOLOGICOS DEL COLEGIO DE MEXICO - ESTUDIOS DE DOCTORADO CONCLUIDO EN CCSS CON MENCION EN SOCIOLOGIA - AUN NO OBTUVO EL GRADO DE DOCTOR,2021-03-14 14:20:15
1,135328,132436,1,,ESCUELA UNIVERSITARIA DE POSTGRADO - UNIVERSIDAD NACIONAL FEDERICO VILLARREAL,2,0,0,0,MAESTRIA EN DERECHO CONSTITUCIONAL,1,,,2021-03-14 14:20:15
1,136122,132417,1,,UNIVERSIDAD DE SAN MARTIN DE PORRES,2,0,0,0,MAESTRIA,1,,,2021-03-14 14:20:15
1,135612,131903,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,136512,132806,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135626,131923,1,,UNIVERSIDAD INTERNACIONAL DE VALENCIA,2,0,0,0,NO,1,,ACTUALMENTE ESTA CURSANDO LA MAESTRIA MASTER UNIVERSITARIA INTERVENCIÓN INTERDISCIPLINARIA EN VIOLENCIA DE GÉNERO,2021-03-14 14:20:15
1,135582,131879,1,2017,UNIVERSIDAD DE HARVARD - HARVARD UNIVERSITY,1,1,0,1,MASTER EN ADMINISTRACION PUBLICA EN DESARROLLO INTERNACIONAL,1,,UNIVERSIDAD UBICADA EN EEUU EL TRAMITE DE RECONOMIENTO DE GRADO EN SUNEDU ESTA EN PROCESO,2021-03-14 14:20:15
1,136524,132816,1,,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,1,1,0,2,MAESTRIA EN DERECHO CONSTITUCIONAL Y DDHH,1,,,2021-03-14 14:20:15
1,135681,131977,1,2009,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,1,1,0,1,ABOGADO,1,,,2021-03-14 14:20:15
1,135671,131962,1,,UNIVERSIDAD NACIONAL FEDERICO VILLARREAL,2,0,0,0,MAGISTER,1,,,2021-03-14 14:20:15
1,135695,131991,1,1986,UNIVERSIDAD DE CAMBRIDGE - INGLATERRA,1,1,1,0,DOCTOR EN FILOSOFIA,1,,,2021-03-14 14:20:15
1,135699,131993,1,2019,UNIVERSIDAD CARLOS III DE MADRID  ,1,1,0,1,TÍTULO OFICIAL DE MÁSTER UNIVERSITARIO EN ASESORAMIENTO Y CONSULTORÍA JURÍDICO - LABORAL,1,,,2021-03-14 14:20:15
1,135705,131996,1,2014,PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ,1,1,0,1,MAGISTER EN ADMINISTRACION ESTRATEGICA DE EMPRESAS,1,,,2021-03-14 14:20:15
1,135708,132004,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,136469,132768,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135712,132006,1,2019,UNIVERSIDAD DE PIURA,1,1,0,1,MASTER EN COMUNICACIÓN ESTRATEGICA EN LAS ORGANIZACIONES,1,,,2021-03-14 14:20:15
1,135714,132008,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135718,132010,1,,UNIVERSIDAD SAN MARTIN DE PORRES,1,1,0,2,MAESTRANDO EN GERENCIA DE SERVICIOS DE SALUD,1,,EN SUSTENTACION PARA EL TITULO,2021-03-14 14:20:15
1,135736,132032,1,2018,UNIVERSIDAD DEL PACÍFICO,1,1,0,1,MAGÍSTER EN ADMINISTRACIÓN,1,,,2021-03-14 14:20:15
1,135845,132130,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135853,132163,1,,EUCIM BUSINESS SCHOOL-UNIVERSIDAD SAN MARTIN DE PORRES,2,0,0,0,EGRESADO DEL PROGRAMA MASTER EN GERENCIA PUBLICA,1,,,2021-03-14 14:20:15
1,135887,132165,1,2009,UNIVERSIDAD DE PIURA,1,1,0,1,MASTER EN DIRECCIÓN DE EMPRESAS,1,,,2021-03-14 14:20:15
1,136032,132343,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,136065,132357,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,136090,132381,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,136094,132386,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,136103,132397,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,136109,132403,1,2011,UNIVERSIDAD ADOLFO IBAÑEZ - INCAE BUSINESS SCHOOL,1,1,0,1,MAGISTER EN ADMINISTRACION DE EMPRESAS,1,,TITULO DE MAGISTER ESTA PENDIENTE DE REGISTRO EN LA SUNEDU,2021-03-14 14:20:15
1,136119,132412,1,2016,UNIVERSIDAD FEMENINA DEL SAGRADO CORAZON,1,1,0,1,MAESTRIA EN DERECHO DE FAMILIA,1,,,2021-03-14 14:20:15
1,135317,131622,1,,UNIVERSIDAD NACIONAL DE LA AMAZONIA PERUANA,2,0,0,0,DOCTOR EN DERECHO,1,,CURSANDO EL VI SEMESTRE,2021-03-14 14:20:15
1,136047,132348,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,136592,133172,1,,ESCUELA DE POSTGRADO JOSÉ TORRES VÁSQUEZ,1,1,0,2,MAESTRIA EN ACUICULTURA,1,,,2021-03-14 14:20:15
1,135452,131746,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134806,131189,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134410,130808,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134416,130812,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134304,130858,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134305,130860,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134467,130861,1,2017,UNIVERSIDAD NACIONAL DE UCAYALI,1,1,0,1,MAGISTER SCIENTIAE EN MEDIO AMBIENTE GESTION SOSTENIBLE Y RESPONSABILIDAD SOCIAL,1,,,2021-03-14 14:20:15
1,134306,132702,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,137600,133909,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,137096,133587,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,137110,133842,1,,UNIVERSIDAD JOSE CARLOS MARIATEGUI,1,1,0,2,MENCION EN INGENIERIA AMBIENTAL,1,,,2021-03-14 14:20:15
1,137112,133685,1,,UNIVERSIDAD NACIONAL DEL ALTIPLANO,1,1,2,0,DOCTORADO EN ECONOMIA Y POLITICAS PUBLICAS,1,,ESTUDIOS CONCLUIDOS EN EL DOCTORADO,2021-03-14 14:20:15
1,137115,133946,1,,UNIVERSIDAD PRIVADA DE CIENCIAS APLICADAS UPC,1,1,0,2,MAESTRIA EN GERENCIA DE LA CONSTRUCCION,1,,,2021-03-14 14:20:15
1,137512,133805,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135104,131584,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134607,130999,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135549,131845,1,,UNIVERSIDAD NACIONAL DE PIURA,2,0,0,0,MAESTRIA,1,,,2021-03-14 14:20:15
1,135121,131470,1,2017,UNIVERSIDAD PRIVADA CÉSAR VALLEJO,1,1,0,1,MAESTRO/MAGÍSTER EN GESTIÓN PÚBLICA,1,,,2021-03-14 14:20:15
1,135243,131558,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134766,131147,1,2001,UNIVERSIDAD DE PIURA,1,1,0,1,MASTER EN DIRECCIÓN DE EMPRESAS,1,,,2021-03-14 14:20:15
1,135277,131579,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135443,131870,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135271,131574,1,2009,UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA,1,1,1,0,DOCTOR EN CIENCIAS: SALUD COLECTIVA,1,,,2021-03-14 14:20:15
1,135441,131754,1,,UNIVERSIDAD ALAS PERUANAS - DERECHO NOTARIAL Y REGISTRAL,1,2,0,0,DERECHO NOTARIAL Y REGISTRAL,1,,ESTUDIOS CONCLUIDOS EN DOCTORADO EN DERECHO UNIVERSIDAD NESTOR CACERES VELASQUEZ,2021-03-14 14:20:15
1,135543,131843,1,,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,1,2,0,0,DERECHO INTERNACIONAL ECONOMICO,1,,SE ENCUENTRA EXPEDITO PARA OPTAR EL GRADO DE MAGISTER PREVIA PRESENTACION Y SUSTENTACION DE TESIS,2021-03-14 14:20:15
1,135505,131797,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134408,130807,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135947,132587,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,137211,133507,1,2012,UNIVERSIDAD NACIONAL DE EDUCACIÓN ENRIQUE GUZMÁN Y VALLE,1,1,0,1,"MAGISTER EN CIENCIAS DE LA EDUCACION, ESPECIALIDAD: MENCION: GESTION EDUCACIONAL",1,,,2021-03-14 14:20:15
1,137225,133519,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,137238,133532,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,137737,134032,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,137475,133755,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,136937,133249,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134543,131170,1,,UNIVERSIDAD NACIONAL FEDERICO VILLARREAL,1,1,0,2,MAESTRIA EN SALUD PUBLICA,1,,,2021-03-14 14:20:15
1,134567,130968,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134572,130970,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135450,131768,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135491,131785,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135503,131798,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135512,131804,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135406,131701,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135415,131710,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135430,131738,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135469,131760,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134999,131331,1,2016,UNIVERSIDAD PRIVADA CÉSAR VALLEJO,1,1,0,1,MAGISTER EN ADMINISTRACION DE LA EDUCACION,1,,,2021-03-14 14:20:15
1,134122,131328,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135005,131340,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135012,131352,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,137232,133525,1,,UNIVERSIDAD JOSE CARLOS MARIATEGUI,1,1,0,2,MAESTRIA EN ADMINISTRACION Y GESTION ESTRATEGICA,1,,,2021-03-14 14:20:15
1,137786,134081,1,2015,UNIVERSIDAD JOSE CARLOS MARIATEGUI,1,1,0,1,MAGISTER EN CIENCIAS CONTABLES Y FINANCIERAS,1,,,2021-03-14 14:20:15
1,137256,133548,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,137212,133513,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,137221,133518,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,137229,133527,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134401,130800,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,136010,132295,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135032,132300,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,136030,132317,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,137239,133530,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,137357,133642,1,2020,UNIVERSIDAD REY JUAN CARLOS  ,1,1,0,1,"TÍTULO PROPIO DE MÁSTER EN ALTA DIRECCIÓN EMPRESARIAL
",1,,,2021-03-14 14:20:15
1,137520,133811,1,,UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA,1,1,0,2,MAESTRIA EN MEDICINA HUMANA,1,,,2021-03-14 14:20:15
1,137579,133888,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,136785,133077,1,2013,UNIVERSIDAD MAYOR DE SAN MARCOS,1,1,0,1,MAESTRIA,1,,,2021-03-14 14:20:15
1,136821,133111,1,2015,UNIVERSIDAD DE HUANUCO,1,1,1,0,DOCTOR EN DERECHO,1,,,2021-03-14 14:20:15
1,136872,133171,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134745,131136,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134756,131140,1,,UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA,2,0,0,0,MAESTRIA EN CIVIL Y COMERCIAL,1,,,2021-03-14 14:20:15
1,134757,131743,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,133941,130412,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,133944,130414,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,133946,130416,1,,UNIV. HERMILIO VALDIZÁN,2,0,0,0,MAESTRÍA EN GESTIÓN Y NEGOCIOS CON MENCIÓM EN TRIBUTACION,1,,ESTUDIOS DE DOCTORADO EN DERECHO EN LA UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,2021-03-14 14:20:15
1,133888,130361,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,133893,130368,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,133931,130400,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134984,131315,1,2011,CENTRO DE ALTOS ESTUDIOS NACIONALES - CAEN,1,1,0,1,MAGISTER EN DESARROLLO Y DEFENSA NACIONAL,1,,,2021-03-14 14:20:15
1,134965,131305,1,,UNIVERSIDAD ESAN,1,1,0,2,DIPLOMADO INTERNACIONAL EN  DERECHO CORPORATIVO,1,,,2021-03-14 14:20:15
1,134653,131045,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135035,131371,1,2020,UNIVERSITY OF CHICAGO,1,1,0,1,GRADO DE MAESTRO EN DERECHO (GRADO DE MAESTRO),1,,,2021-03-14 14:20:15
1,134852,131229,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134759,131149,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134845,131223,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134719,131107,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134980,131308,1,2012,UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIÓN CIVIL,1,1,1,0,DOCTOR EN MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE,1,,,2021-03-14 14:20:15
1,135049,131390,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134974,131303,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134835,131219,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135155,131485,1,,UNIVERSIDAD CIENTÍFICA DEL SUR,2,0,0,2,ESPECIALISTA EN RADIOLOGÍA ORAL,1,,,2021-03-14 14:20:15
1,135744,132041,1,2003,UNIVERSITÉ DU QUÉBEC  A MONTREAL,1,1,0,1,MAESTRÍA EN ADMINISTRACIÓN DE NEGOCIOS  (MBA),1,,DIPLOMA RECONOCIDO POR SUNEDU,2021-03-14 14:20:15
1,134940,131284,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134964,131339,1,,UNIVERSIDAD NACIONAL FEDERICO VILLARREAL,1,1,0,2,MAESTRIA EN GERENCIA EDUCATIVA,1,,,2021-03-14 14:20:15
1,134961,131300,1,,UNIVERSIDAD SAN MARTIN DE PORRES,2,0,0,0,MAESTRÍA EN DERECHO CIVIL,1,,,2021-03-14 14:20:15
1,134496,130937,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134956,131301,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134499,130894,1,,UNIVERSIDAD INCA GARCILASO DE LA VEGA,2,0,0,0,MAESTRÍA EN DERECHO CIVIL COMERCIAL,1,,,2021-03-14 14:20:15
1,134848,131227,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135556,131848,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,137896,134224,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,136849,133137,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,137556,133851,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,136825,133112,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,136446,132742,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,137862,134174,1,2015,UNIVERSIDAD NACIONAL FEDERICO VILLARREAL,1,1,1,0,DOCTOR EN SALUD PUBLICA,1,,,2021-03-14 14:20:15
1,135765,132064,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,137984,134311,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,137274,133566,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135866,132434,1,,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,2,0,0,0,MAESTRIA EN GESTION MINERA,1,,,2021-03-14 14:20:15
1,135348,131963,1,,UNIVERSIDAD JOSE CARLOS MARIATEGUI,1,2,0,0,MAESTRIA EN DERECHO CON MENCION EN DERECHO CONSTITUCIONAL,1,,PENDIENTE DE REALIZAR LA OBTENCION DE CONSTANCIA EGRESADO,2021-03-14 14:20:15
1,135439,131730,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135353,131660,1,,UNIVERSIDAD NACIONAL DE INGENIERIA,2,0,0,0,MAESTRIA EN PLANIFICACIÓN Y GESTIÓN URBANO REGIONAL,1,,,2021-03-14 14:20:15
1,135630,131942,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134310,130721,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134312,130722,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134314,130723,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134596,130989,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134642,131036,1,2015,UNIVERSIDAD NACIONAL DE TRUJILLO,1,1,0,1,MAESTRA EN DERECHO PENAL Y CRIMINOLOGIA,1,,,2021-03-14 14:20:15
1,134420,130816,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134623,131030,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134429,130825,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
